Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"Happy World Pasta Day! What kind of pasta are you going to make tonight?
#DontDriveDirty",0.8,Y,N,DontDriveDirty,,06:39:25,Tuesday,2016-10-25,N,744x930,11,0,1100.0
"It's National Courtesy Month! Earlier in the month we asked you to nominate courteous people that you know. Now it's time to VOTE! 
If you're friends with someone that has been nominated, help them out by sharing this link. 
http://ow.ly/qBIp304vV8v",0.375,N,N,,,16:03:06,Friday,2016-09-23,N,960x960,0,0,0.0
"You could hand wash your car in the heat, or you could sit comfortably with the AC on while Quick Quack does the job for you. We like to make it easy for you. #dontdrivedirty",0.3888888888888889,Y,N,dontdrivedirty,,08:00:34,Monday,2021-08-02,N,1080x1080,46,0,4600.0
Everyone loves Quackals #quickquack,0.0,Y,N,quickquack,,16:22:42,Monday,2014-11-24,N,640x640,7,0,700.0
Congratulations KAYLEAH NORONO! She won our Most Courteous Person Contest. Thank you for being a courteous person! http://ow.ly/8HuW304HNWp,0.6166666666666667,N,N,,,19:48:54,Friday,2016-09-30,N,720x720,2,0,200.0
"It's #LuckyDuckWednesday! Start your holiday shopping today!

http://ow.ly/VZce305ZpcV",0.0,Y,N,LuckyDuckWednesday!,,06:58:11,Wednesday,2016-11-09,N,960x960,5,0,500.0
"Come and check out our VIP lane for unlimited members. If you have a window sticker, the barcode will automatically be scanned. This is another way we try to make visiting our site as ""Quick"" as possible.",0.16666666666666666,N,N,,,16:16:34,Tuesday,2015-05-05,N,640x640,7,1,800.0
"Share your Halloween costume with us! You could win 1 month of Unlimited Protect Car Washes.

http://bit.ly/2ySOMo2",0.8,N,N,,,10:52:00,Monday,2017-10-30,N,550x688,18,0,1800.0
"Online Only! Receive a FREE shirt if you spend $100 on gift cards. 
http://ow.ly/LInj306V4DF",0.2,N,N,,,19:31:16,Wednesday,2016-12-07,N,960x960,7,1,800.0
"It's December! Quick Quack's 12 Days of Giving is back! From December 1 to December 12, we are supporting local causes by collecting and matching donations at all Quick Quack locations.",0.1833333333333333,N,N,,,07:01:31,Wednesday,2021-12-01,N,1080x1080,56,3,5900.0
"If you enjoy spending your days around fun and kind people, Quick Quack is just the place for you. Come Quack With Us! Want to apply? Visit the link in our bio. 🦆",0.4291666666666666,N,N,,,08:29:56,Monday,2021-08-30,Y,720x1280,54,0,5400.0
Thanks Donnie for being born! Birthdays = CAKE!!! #quickquack #employeesarwawesome,0.48828125,Y,N,"quickquack, employeesarwawesome",,15:04:29,Wednesday,2015-05-27,N,640x640,5,0,500.0
"We're headed to Utah! If you have friends and family there let them know we'll be headed that way by commenting below with their name. 
http://ow.ly/gNBm302pp8B

#DontDriveDirty",0.0,Y,N,DontDriveDirty,,18:34:17,Monday,2016-07-25,N,1000x1250,4,1,500.0
#Quackals having fun at the Veterans Parade!,-0.0062500000000000056,Y,N,Quackals,,09:31:27,Sunday,2013-11-10,N,640x640,7,0,700.0
Love the rainy weather!! Best time to get the wash squeaky clean for your next visit!!,0.5369791666666667,N,N,,,16:47:40,Friday,2015-02-06,N,640x640,3,0,300.0
"#AutoFactFriday Luxembourg has the most crowded roads in Europe with 570 cars per 1,000 people.",0.5,Y,N,AutoFactFriday,,20:10:43,Friday,2016-01-22,N,320x320,3,0,300.0
3 minutes fast! #quickquack #dontdrivedirty,0.25,Y,N,"quickquack, dontdrivedirty",,12:51:28,Wednesday,2015-01-14,N,640x640,2,0,200.0
Our employees are joining in on the #Halloween fun today! #workcanbefuntoo #quickquack #dontdrivedirty,0.375,Y,N,"Halloween, workcanbefuntoo, quickquack, dontdrivedirty",,13:48:12,Saturday,2015-10-31,N,1080x675,2,0,200.0
"Treat your car with a whole new level of shine and protection with our Ceramic Duck. Our team has been working hard to make this happen, and we’re ready for you to feel SPECTACULAR. 

Go Ceramic and notice the irresistible shine.",0.16893939393939394,N,N,,,14:31:35,Monday,2023-05-22,Y,1080x1920,128,4,13200.0
Quackals had a blast at #TheDuckDash yesterday! #greatevent #greatercause #quickquack,0.0,Y,N,"TheDuckDash, greatevent, greatercause, quickquack",,18:17:30,Sunday,2015-08-30,N,1080x1080,7,0,700.0
Before & After contest! ✨Share a photo of your car BEFORE and AFTER your car wash for a chance to win a FREE MONTH of our Best wash! Tag us @quickquackcarwash to enter. We will choose one winner on July 31st!,0.7333333333333334,N,Y,,quickquackcarwash,09:08:10,Thursday,2019-07-11,N,1080x1080,27,0,2700.0
"12 Days of Giving starts NOW! 🎁 Give back to a great cause by visiting Quick Quack from Dec. 1 to Dec.12. Sign up for an Unlimited Membership (with special offers at participating locations), we will donate a portion of all membership sales to local non-profits. Come back tomorrow to learn more about our local non-profits! #QQCares",0.2322751322751323,Y,N,QQCares,,07:30:18,Tuesday,2020-12-01,N,1080x1080,69,1,7000.0
"Thanks for the awesome review, Mario! That's what we strive for. 
Leave us a review on Facebook, Google or Yelp!

#BehindTheQuack",0.6,Y,N,BehindTheQuack,,08:47:27,Saturday,2018-01-06,N,346x236,18,0,1800.0
"We will be CLOSED on Christmas Day (Dec. 25) so that our team members can spend time with their family and friends.  As a reminder, our locations will be open tomorrow, Christmas Eve, until 4:00 pm.
˙
Merry Christmas and Happy Holidays!
˙
#DontDriveDirty #MerryChristmas #HappyHolidays",0.3,Y,N,"DontDriveDirty, MerryChristmas, HappyHolidays",,07:30:38,Sunday,2018-12-23,N,1080x1080,19,2,2100.0
"We hope this tickles the right part of your brain. 🧠

#CarWash #ASMR #ASMRCarWash #QuickQuackCarWash #QuickQuack",0.2857142857142857,Y,N,"CarWash, ASMR, ASMRCarWash, QuickQuackCarWash, QuickQuack",,10:41:08,Wednesday,2024-10-16,Y,1080x1920,90,5,9500.0
FATHER'S DAY GIVEAWAY ✨ Tell us one funny or embarrassing story about your dad in the comments below. 🙈 😂 5 Lucky-Duck winners will receive a free wash to gift to Dad! #dontdrivedirty #fathersday,0.375,Y,N,"dontdrivedirty, fathersday",,07:00:16,Sunday,2020-06-21,N,1080x1080,78,15,9300.0
Thanks Toni! That's what we strive for! #BehindTheQuack,0.3125,Y,N,BehindTheQuack,,16:17:50,Saturday,2016-10-29,N,320x323,2,0,200.0
Quackals Comic Book? It may be our next big idea!?! Hmmm.....,0.08333333333333333,N,N,,,14:36:07,Friday,2016-07-01,N,1080x1080,8,0,800.0
"Springing Forward doesn't have to be a bad thing! Today marks the official switch to our Summer Hours, we are now open from 7am to 9pm, which means you have more time to get that Quick Quack Shine! #dontdrivedirty #springforward",0.010416666666666713,Y,N,"dontdrivedirty, springforward",,10:10:05,Sunday,2020-03-08,N,1080x1079,60,6,6600.0
"Another benefit of washing your car at Quick Quack? We only use a fraction of the amount of water you would use to wash your car at home. You're helping us conserve water, one car at a time. #dontdrivedirty",0.16666666666666666,Y,N,dontdrivedirty,,10:08:21,Tuesday,2021-08-03,Y,720x1280,71,0,7100.0
"Happy Earth Day! 🌎💕 Did you know that our car washes recycle water, and only use a fraction of the water used for driveway car washes? So far this year, we've saved over 450 million gallons of fresh water thanks to YOU choosing to use Quick Quack.
What are some small changes you've made for the planet? Please share them with us below! #earthday #earthdayeveryday #QQcares #dontdrivedirty",0.23154761904761906,Y,N,"earthday, earthdayeveryday, QQcares, dontdrivedirty",,07:00:47,Thursday,2021-04-22,N,1080x1080,69,2,7100.0
"Splish Splash, let us give your car a bath! 💦🚗😎
•
•
•
#QuickQuackCarWash #DontDriveDirty #FastCleanLovedEverywhere #CarWash #Car #Quackals #Duck #Wash #Summer #Swim #beachball",0.0,Y,N,"QuickQuackCarWash, DontDriveDirty, FastCleanLovedEverywhere, CarWash, Car, Quackals, Duck, Wash, Summer, Swim, beachball",,17:22:06,Tuesday,2019-06-11,N,1440x1440,36,2,3800.0
"PSA: after all the x-wings we’ve seen going through our washes today - we just wanted to remind you to please remove your R2 unit before entering the wash — it’s not good for their sensors. 🪐✨

Otherwise, #maythe4thbewithyou!",-0.4375,Y,N,maythe4thbewithyou!,,12:39:07,Saturday,2024-05-04,N,612x612,166,4,17000.0
"Pumpkin Spice fans—it’s your time to shine! 

Celebrate all things fall with a new special wash fragrance, Pumpkin Spice. Yes, you read that correctly.

For a limited time, you can experience pumpkin season while you wash your car. Oh, and here’s a Pumpkin Spice tip - if you turn your air recirculation off in your car, you can take in ALL of the pumpkin goodness.

Tag a friend and let a fellow Pumpkin Spice fan know.🎃",0.14069264069264067,N,N,,,09:30:31,Monday,2023-10-02,N,1349x1687,68,3,7100.0
"*Ground Breaking*
˙
Look for our new Vacaville, CA location...coming soon!
˙
#DontDriveDirty #Vacaville",0.17045454545454544,Y,N,"DontDriveDirty, Vacaville",,18:29:54,Tuesday,2018-12-11,N,1080x810,51,2,5300.0
It's Friday!!!,0.0,N,N,,,11:29:50,Friday,2017-03-10,N,1080x992,15,0,1500.0
"You Lucky Duck! 🍀 Don't miss your chance to save on Unlimited Washes. Get the first month of our Best (Lucky Duck) membership for just $17, from now until March 18 (offer valid at participating locations only). #stpatricksday #luckyduck #dontdrivedirty #quickquack",0.39999999999999997,Y,N,"stpatricksday, luckyduck, dontdrivedirty, quickquack",,07:30:10,Tuesday,2021-03-16,N,1080x1080,52,3,5500.0
"Did you know that we recycle?

At Quick Quack Car Wash, our priority is not only to get your car clean, but to preserve our natural resources while doing so. We’re proud to be a Green Certified Car Wash and recognized as a leader in environmentally friendly and sustainable business practices.",0.2535714285714286,N,N,,,08:01:44,Wednesday,2022-08-17,N,1000x1000,83,2,8500.0
"Father's Day is on Sunday! Are you ready? Give the gift of car washes!

5 Wash Card for the price of 3! That's 40% OFF!!! ONLINE ONLY! Ends Sunday 6/18/17

#DontDriveDirty #FathersDay #FathersDayPresent

https://shop.dontdrivedirty.com/products/wash-cards?discount=DAD",0.30517578125,Y,N,"DontDriveDirty, FathersDay, FathersDayPresent",,10:13:07,Friday,2017-06-16,N,550x687,15,0,1500.0
Best friends don't let their friends drive dirty!😎,1.0,N,N,,,11:09:42,Monday,2024-05-20,N,612x612,3,15,1800.0
"The days are getting warmer and longer, so we are switching to our Summer hours. Starting 3/14, our locations will be open from 7am to 9pm (hours may vary by location). #dontdrivedirty",0.0,Y,N,dontdrivedirty,,07:30:46,Sunday,2021-03-14,N,1080x1079,115,3,11800.0
Quackals had so much fun this weekend hanging out with his friend the Easter Bunny!,0.375,N,N,,,10:15:44,Monday,2017-04-17,N,1080x1350,18,0,1800.0
"What do you think these sunglasses are for?

Happy #NationalBeachDay!🌴

#QuickQuack #QuickQuackCarWash",0.8,Y,N,"NationalBeachDay!🌴, QuickQuack, QuickQuackCarWash",,09:47:58,Friday,2024-08-30,Y,1080x1920,71,2,7300.0
"Too cute not to share!

#Cute #DontDriveDirty",0.5625,Y,N,"Cute, DontDriveDirty",,15:53:20,Monday,2017-07-24,N,720x720,42,0,4200.0
"Keep your car shining through the fall season. As the leaves begin to change, a clean car not only looks great, but it has surprising benefits.

Here's a couple:
- Boost your happiness
- Eliminate pet odors
- Protect your car from changing weather conditions

Discover the benefits of embracing the season - link in our stories.",0.5133333333333333,N,N,,,15:59:53,Wednesday,2023-11-08,N,1439x927,44,0,4400.0
"We hope you had a great 3 day weekend! Are you ready for the Summer festivities?

#DontDriveDirty #SummerTime",0.6,Y,N,"DontDriveDirty, SummerTime",,10:40:05,Tuesday,2018-05-29,N,1080x1080,23,0,2300.0
It's #LuckyDuckWednesday!! Add on a Duck Bath or Duck Wax for just $1! Just show this deal to your cashier to cash in on the savings!,0.0,Y,N,LuckyDuckWednesday!!,,09:08:43,Wednesday,2016-03-23,N,959x959,0,0,0.0
"Thanks for the review, Steph!!
#BehindTheQuack",0.3125,Y,N,BehindTheQuack,,09:29:48,Wednesday,2017-05-24,N,320x251,11,0,1100.0
"Rain or snow, we're here to help you shine ✨ Get Unlimited shine with our Unlimited Car Wash Memberships, click the link in bio to learn more about all the advantages of being an Unlimited Member at Quick Quack. #dontdrivedirty #quickquack",0.41666666666666663,Y,N,"dontdrivedirty, quickquack",,07:30:40,Monday,2020-11-16,N,1080x1080,76,2,7800.0
Happy Labor Day Weekend!!!! Have fun this weekend. Be safe! Watch out for ducks!,0.69375,N,N,,,17:20:21,Friday,2016-09-02,N,600x750,8,0,800.0
It's #luckyduckwednesday! Purchase a Protect 5 wash card and get a Basic 5 wash card for FREE OR a Quackals Doll FREE!,0.3,Y,N,luckyduckwednesday!,,14:14:30,Wednesday,2015-12-09,N,959x959,0,0,0.0
"Fast. Clean. Loved...Everywhere! ❤️💦🚗
•
•
•
#QuickQuackCarWash #DontDriveDirty #FastCleanLovedEverywhere #CarWash #Car #Quackals #Duck #Wash #Summer #Team #Loved #Smile #Friday",0.41458333333333336,Y,N,"QuickQuackCarWash, DontDriveDirty, FastCleanLovedEverywhere, CarWash, Car, Quackals, Duck, Wash, Summer, Team, Loved, Smile, Friday",,08:37:34,Friday,2019-06-14,N,1185x633,49,1,5000.0
Quackals at the fair! #quickquack,0.875,Y,N,quickquack,,18:22:36,Saturday,2013-09-21,N,612x612,8,0,800.0
"No worries. 🥺

#QuickQuack #QuickQuackCarWash #CarWash #QuickQuackPlan #DontDriveDirty",0.0,Y,N,"QuickQuack, QuickQuackCarWash, CarWash, QuickQuackPlan, DontDriveDirty",,09:05:11,Tuesday,2024-10-08,Y,886x1920,60,6,6600.0
Start the new year with a clean car. Did you know it takes less than a month to create a new habit? Make January the month you keep your car clean. ✨ #newyearcleancar,0.1678787878787879,Y,N,newyearcleancar,,07:12:28,Monday,2022-01-03,Y,720x1280,84,1,8500.0
Dash wipe Trick-Or-Treating???,0.0,N,N,,,13:34:27,Wednesday,2016-10-26,N,1080x1080,13,0,1300.0
"Today is Ditch New Years Resolutions Day. So, if you are ready to ditch your resolution, today is the day! Really, any day is great day to make a resolution, It doesn't need to be New Years. It's a new day tomorrow!",0.2821969696969697,N,N,,,08:40:16,Tuesday,2017-01-17,N,900x900,16,0,1600.0
Today seems like a good day for a BBQ...No duck of course!,0.875,N,N,,,17:11:50,Sunday,2016-11-13,N,1000x1000,6,0,600.0
"Happy National Siblings Day! Make sure you let your siblings know how much they mean to you! 
#DontDriveDirty #SiblingDay #Siblings",0.32734375,Y,N,"DontDriveDirty, SiblingDay, Siblings",,05:45:08,Tuesday,2018-04-10,N,1080x568,30,0,3000.0
"Happy Book Lovers Day! What book are you going to read today? 
#DontDriveDirty #BookLoversDay #Books #QuickQuack",1.0,Y,N,"DontDriveDirty, BookLoversDay, Books, QuickQuack",,14:36:36,Thursday,2018-08-09,N,1080x1080,22,1,2300.0
It's a nice day! If you want a clean car for the weekend come by our newest location on Watt & Arden for a FREE CAR WASH!,0.5388888888888889,N,N,,,17:18:30,Friday,2016-06-10,N,320x320,6,0,600.0
"It is Moment of Frustration Day! Quackals wanted to share with you a moment when he was frustrated...When he gets out of his nest in the morning he tends to get leaves and sticks stuck to him. Luckily, he knows it is just a temporary & easy to fix frustration. Good thing there are vacuums at his work!",0.5472222222222222,N,N,,,13:25:08,Wednesday,2016-10-12,N,929x929,3,0,300.0
Has this happened to you?,0.0,N,N,,,21:40:38,Monday,2016-01-25,N,320x240,5,0,500.0
"We had an amazing time celebrating the opening our new location in Fairfield, California. While in Fairfield, Quackals and the team met Nuvia and her three children. Nuvia has overcome a lot of obstacles, and has been working hard to build a life for her young children and herself. Nuvia has been unable to work as she focuses on caring for her children. With your help, we raised funds to help the family pay for essential expenses. Thank you for taking part in helping our community. #QQcares",-0.0007575757575757505,Y,N,QQcares,,08:01:13,Friday,2021-09-17,N,1080x1080,92,1,9300.0
Beautiful days + 3 min fast car wash = perfection #dontdrivedirty #quickquack,0.525,Y,N,"dontdrivedirty, quickquack",,16:47:01,Saturday,2015-11-28,N,1080x1080,1,0,100.0
#TBT to that one time Quackals had an office day,0.0,Y,N,TBT,,14:23:29,Thursday,2016-10-13,N,1000x1000,15,0,1500.0
"""May the Fourth be with you"" Lucky Duck Special!!
$4 OFF on the Protect Wash!
PLUS Get another $4 off if you can name Han Solo's spaceship.",0.3436259920634921,N,N,,,09:15:55,Wednesday,2016-05-04,N,959x959,2,0,200.0
#AutoFactFriday,0.0,Y,N,AutoFactFriday,,15:30:14,Friday,2016-05-27,N,935x533,3,1,400.0
Thank you to everyone who participated in the Who is Quackals? Writing Contest! We have our winners. http://ow.ly/iIhd306KWPC,0.0,N,N,,,11:00:11,Friday,2016-12-02,N,800x800,4,0,400.0
"I wanna be where the duckies are. 

#Quackals #DontDriveDirty #QuickQuackCarWash #LittleMermaid",0.0,Y,N,"Quackals, DontDriveDirty, QuickQuackCarWash, LittleMermaid",,10:16:55,Wednesday,2024-08-14,Y,1080x1920,140,21,16100.0
"Spice up your life! And no, we don't mean with the Spice Girls. 

For a limited time, you can experience pumpkin season while you wash your car—with our new Pumpkin Spice wash.

Leave us a comment down below to receive a special pumpkin treat. 👇🎃",-0.00919552669552669,N,N,,,09:06:24,Tuesday,2023-10-17,N,1080x1350,109,12,12100.0
"#TBT to the original Quackals. Before he matured into the awesome duck he is today!

#DontDriveDirty",0.6875,Y,N,"TBT, DontDriveDirty",,11:52:09,Thursday,2016-09-29,N,1080x1080,3,0,300.0
"Happy National Dessert Day! Quackals is enjoying his cupcake!

#DontDriveDirty",0.8125,Y,N,DontDriveDirty,,09:55:06,Saturday,2017-10-14,N,717x717,22,0,2200.0
"Tell us how Ceramic Duck makes you feel only using emojis.

We’ll go first - ✨🕺!",0.15625,N,N,,,09:40:50,Tuesday,2023-06-27,Y,1080x1920,186,11,19700.0
"This Labor Day, we celebrate you—and all the hard work you do—with our best membership deal yet. 

 

Come into any of our Quick Quack Car Wash locations to enjoy your first month of a Best “Lucky Duck” Unlimited Membership for the price of a Best Single Wash!",0.4373015873015873,N,N,,,08:01:56,Friday,2022-08-26,N,1080x1079,85,6,9100.0
#TBT,0.0,Y,N,TBT,,10:10:03,Thursday,2016-11-24,N,1080x1080,7,0,700.0
"Family Fun Alert!

Turn your next car wash into a family adventure. Gather the crew for a leisurely drive and make it an outing. Not only is it essential for your vehicle, but it's also the perfect excuse to bond with your loved ones.

Ready to roll? Search ""car wash near me"" and add some unexpected joy to your day. Your clean car and happy family are just a drive away.

Discover more family fun ideas. Link in stories.",0.34611111111111115,N,N,,,10:51:46,Saturday,2023-11-25,N,1080x1080,3,1,400.0
Even our #duckscents are getting ready for a fun night of #TrickorTreating!,0.2875,Y,N,"duckscents, TrickorTreating!",,11:45:03,Saturday,2015-10-31,N,800x1000,4,0,400.0
"Does your camera roll look like this after getting a Ceramic Duck wash?
📸Tag us in your clean car photos.",0.3666666666666667,N,N,,,14:57:07,Friday,2024-02-09,N,1080x1350,3,1,400.0
"We hope you have a fun and safe New Year's Eve. All of our locations will open at 9 a.m. tomorrow, on January 1. Happy new year from Quick Quack! 🎉",0.327056277056277,N,N,,,08:02:29,Friday,2021-12-31,N,1080x1080,78,8,8600.0
"Happy World SMILE Day! We hope give and receive a lot of smiles today!

#DontDriveDirty",0.634375,Y,N,DontDriveDirty,,08:40:37,Friday,2016-10-07,N,829x1000,6,0,600.0
"Have you seen Quackals? He recently grew a mustache!
˙
#DontDriveDirty #HappyAprilFoolsDay",0.0,Y,N,"DontDriveDirty, HappyAprilFoolsDay",,12:29:26,Monday,2019-04-01,N,1080x1114,48,2,5000.0
"Happy Friday the 13th! Coincidentally, it is also Make Your Dreams Come True Day! So, don't let superstition get the best of you. Go out there and make it happen!",0.559375,N,N,,,11:04:24,Friday,2017-01-13,N,1000x1000,20,1,2100.0
"Did you know we have FREE VACUUMS? If Quackals is at the car wash when you're their, I bet he would help you if you asked nicely. It's the courteous thing to do! 
#DontDriveDirty",0.5833333333333334,Y,N,DontDriveDirty,,15:36:07,Wednesday,2016-09-28,N,1000x1010,6,0,600.0
"Last week, we wrapped up our sponsorship with @sacramentokings in true Quick Quack style. 🟣🔦

We proudly handed over a $12,500 check to Change Lives For The Better for the Sacramento Kings Community Starting 5 Program.

The funds donated will support @juma_ventures, @recreateorg @openingdoorsinc, @effieyeawnaturecenter and @autismspeaks.",0.33055555555555555,N,Y,,"sacramentokings, juma_ventures,, recreateorg, openingdoorsinc,, effieyeawnaturecenter, autismspeaks.",18:03:22,Wednesday,2024-04-10,Y,1080x1920,85,0,8500.0
"In celebration of Bosses Day...Here's our CEO, Jason Johsnson, shooting some hoops at our company picnic. Happy Bosses Day Jason!",1.0,N,N,,,10:41:46,Sunday,2016-10-16,N,1000x1000,8,0,800.0
It's the Season of Count Quackula. See you at the car wash! 👻,0.0,N,N,,,07:02:08,Thursday,2021-09-30,N,1000x1000,250,14,26400.0
"Dealing with the back-to-school rush? Look your best at school drop off, or in the school parking lot. Just three minutes at Quick Quack, and your car will be sparkling clean. #dontdrivedirty",0.5666666666666667,Y,N,dontdrivedirty,,07:30:50,Tuesday,2021-08-10,N,1080x1080,26,0,2600.0
A BIG THANK YOU to all our Lubbock fans for voting is Best Car Wash!!! We're so honored! Now come on down and #dontdrivedirty,0.2814814814814815,Y,N,dontdrivedirty,,10:15:51,Thursday,2015-10-08,N,1080x1080,3,0,300.0
Is everyone ready for the holidays?! Remember we will be open from 7 am to 4 pm on Christmas Eve in case you need a car wash in between those last minute errands! We will be closed Christmas Day. Happy Holidays!,0.22999999999999998,N,N,,,09:23:03,Monday,2019-12-23,N,1080x1079,33,1,3400.0
"Thanks Rustin! We love seeing great reviews like this! It helps us recognize which employees stand out. Keep up the good work Crystal, Madison & Susan. We have the best employees!",0.6900000000000001,N,N,,,15:18:35,Sunday,2016-06-19,N,750x750,6,0,600.0
"Don't forget...Father's Day is THIS Sunday... Link in the bio. 
#DontDriveDirty #FathersDay #BOGO #30days #carwash #quickquack",0.0,Y,N,"DontDriveDirty, FathersDay, BOGO, 30days, carwash, quickquack",,09:40:49,Saturday,2018-06-16,N,320x365,14,0,1400.0
"*** GIVEAWAY HAS ENDED! ***

Quackenstien and his bride need your help cracking this Halloween-themed puzzle. Solve the puzzle and win a spooktacular prize. 👻 

How to win:
Tag a friend for help and comment your answer below. 👇

Giveaway timeline: October 20 - October 22",0.8,N,N,,,10:05:00,Friday,2023-10-20,N,1080x1350,169,464,63300.0
"New Quick Quack car #5 coming soon to All American Speedway in Roseville, CA (and our Grand Opening)",0.24242424242424243,Y,N,5,,20:47:52,Thursday,2016-03-17,N,1080x1080,9,0,900.0
"Quackals Nye, the Science Guy 🧬",0.0,N,N,,,07:04:38,Monday,2024-09-02,N,612x612,121,8,12900.0
Today is the last day to vote for Best of Sacramento. Vote for us and we'll give you a FREE Wash or Upgrade!,0.5,N,N,,,15:06:51,Wednesday,2016-06-15,N,570x504,10,0,1000.0
"Happy (almost) 4th of July! We'll be closing at 5 pm tomorrow, so we can celebrate with our friends and family. 
http://ow.ly/12wS30cUE4Y",1.0,N,N,,,09:09:59,Monday,2017-07-03,N,504x504,19,1,2000.0
"Come Quack with Us! Want to know why our team members love working at Quick Quack? Watch to learn more. Join the Quick Quack team, apply at the link in bio.",0.41666666666666663,N,N,,,08:01:19,Tuesday,2021-07-06,Y,1920x1080,94,9,10300.0
V formation! Fly with the Flock! Flock memberships only $15 per additional vehicle. Visit your nearest location for more info.,0.5,N,N,,,13:15:03,Sunday,2019-10-06,N,1080x1079,34,0,3400.0
"Hey, NorCal Quick Quack fans!✨

Exciting things are coming to our Unlimited Members in NorCal. 

Be on the lookout for more information soon. If you're not in NorCal, keep up with our socials for updates on other regions.",0.2520833333333333,N,N,,,09:03:24,Friday,2023-07-21,N,612x612,175,12,18700.0
"Happy Halloween! We will be closing our locations early on the 31st at 6:00 pm, so that our team members can go trick or treating with their family and friends!
˙
#DontDriveDirty #Halloween",0.5625,Y,N,"DontDriveDirty, Halloween",,08:43:11,Saturday,2018-10-27,N,612x672,14,0,1400.0
"How about some car wash chemistry to celebrate #EarthWeek? Watch our video to learn all about soap PH and how all Quick Quack car washes neutralize the pH of our biodegradable soaps, to leave your car shiny and Mother Nature happy. For a fun pH experiment, visit the link in bio. #QQEarthWeek",0.4777777777777778,Y,N,"EarthWeek?, QQEarthWeek",,08:45:02,Thursday,2020-04-23,Y,1280x720,27,0,2700.0
We've gone Quackers! We are giving out FREE washes for a year to the BEST #quickquack themed pumpkin. For details & free #Quackals template click here http://tinyurl.com/lbswhcy,0.6,Y,N,"quickquack, Quackals",,12:27:38,Wednesday,2014-10-15,N,640x640,13,0,1300.0
Summer is officially here! Time to cool off with a quick wash at QQ!,0.3833333333333333,N,N,,,07:30:44,Tuesday,2021-06-22,N,1080x1080,48,4,5200.0
"Quackals and the Quick Quack team celebrated Random Quacks of Kindness by sponsoring a dog adoption, buying groceries for a stranger, and much more! Follow Quackals along as he spreads kindness around the community, and click the link in bio to nominate someone who could use a Random Quack of Kindness! #qqcares #randomquacksofkindness #randomactsofkindness #dontdrivedirty",0.03666666666666667,Y,N,"qqcares, randomquacksofkindness, randomactsofkindness, dontdrivedirty",,08:03:53,Friday,2020-03-13,Y,1280x720,43,0,4300.0
"Teachers rock! Nominate a deserving teacher to enter them to win ONE YEAR OF FREE CAR WASHES! Visit the link in bio to tell us all about an amazing teacher in your life.
Nominations close on May 6th, winners will be announced May 8th. #teacherappreciation #weloveourteachers",0.625,Y,N,"teacherappreciation, weloveourteachers",,13:50:43,Monday,2020-04-27,N,1080x1080,44,2,4600.0
"There's nothing worse than waking up and heading out the door, only to find your car coated with ice. 🧊

And trust us, pouring hot water to melt the ice is not a great idea. Give our latest blog a read and learn new tips to successfully deice your vehicle without damage. 🔗 in the stories.",0.11948051948051948,N,N,,,16:30:12,Wednesday,2023-12-20,N,1080x1080,3,0,300.0
"Thanks for the great review, Stacy!
#BehindTheQuack",0.6,Y,N,BehindTheQuack,,17:04:38,Saturday,2017-04-08,N,320x292,13,0,1300.0
"Here's your Tip Tuesday from Quackals... Focus on the present!

Have a great day!

#DontDriveDirty",0.5,Y,N,DontDriveDirty,,10:25:31,Tuesday,2017-11-14,N,664x830,21,0,2100.0
"""The time is always right to do what is right"". Today we commemorate Martin Luther King Jr. and his fight for civil rights.",0.2857142857142857,N,N,,,07:00:37,Monday,2021-01-18,N,640x640,72,0,7200.0
"Today in 1956, the last Packard was produced. 
http://qoo.ly/qcn4x",0.0,N,N,,,15:47:36,Monday,2018-06-25,N,320x264,20,0,2000.0
"#TipTuesday

I heard a roomer that there are FREE CAR WASHES at Quick Quack in Cathedral City ;-) Share that tip with you're friends in the area!  68279 E. Palm Canyon Rd. Cathedral City, CA 92234!

https://www.facebook.com/QuickQuackCathedralCity",0.3746527777777778,Y,N,TipTuesday,,11:42:16,Tuesday,2016-07-19,N,320x319,8,1,900.0
Happy Count Your Buttons Day! Quackals wanted to share his button collection with you. #DontDriveDirty,1.0,Y,N,DontDriveDirty,,07:12:44,Friday,2016-10-21,N,776x970,3,0,300.0
"It's Rain Day today! 
Did you know that we have a rain check? That's right! If you wash your car at a Quick Quack and it rains within 48 hours. Bring your receipt and car back to us and we'll give you a FREE car wash. 
http://qoo.ly/r3xa8",0.27261904761904765,N,N,,,07:39:04,Sunday,2018-07-29,N,720x736,20,0,2000.0
"We hope your Holidays were wonderful! Now it's time to get ready for New Years!

#NewYears #DontDriveDirty #NYE #HappyHolidays",0.4568181818181818,Y,N,"NewYears, DontDriveDirty, NYE, HappyHolidays",,15:32:12,Tuesday,2017-12-26,N,867x454,12,0,1200.0
Where's Quackals? #quackals #quickquackcarwash #dontdrivedirty,0.0,Y,N,"quackals, quickquackcarwash, dontdrivedirty",,20:31:06,Monday,2012-09-03,N,612x612,1,0,100.0
